# Combined LVM export
# delta_x = 1.0
# fs = 1.0
# channels = 18
# ----------------------------------
frequency	UEbertragungsfunktionImaginaerFFTY_0	UEbertragungsfunktionImaginaerFFTY_1	UEbertragungsfunktionImaginaerFFTY_2	UEbertragungsfunktionImaginaerFFTY_3	UEbertragungsfunktionImaginaerFFTY_4	UEbertragungsfunktionImaginaerFFTY_5	UEbertragungsfunktionImaginaerFFTY_6	UEbertragungsfunktionImaginaerFFTY_7	UEbertragungsfunktionImaginaerFFTY_8	UEbertragungsfunktionImaginaerFFTY_9	UEbertragungsfunktionImaginaerFFTY_10	UEbertragungsfunktionImaginaerFFTY_11	UEbertragungsfunktionImaginaerFFTY_12	UEbertragungsfunktionImaginaerFFTY_13	UEbertragungsfunktionImaginaerFFTY_14	UEbertragungsfunktionImaginaerFFTY_15	UEbertragungsfunktionImaginaerFFTY_16	UEbertragungsfunktionImaginaerFFTY_17
1,8	-0,052867	-0,011334	0,008842	0,009084	0,004654	-0,017956	0,014715	-0,016909	-0,029639	-0,079749	-0,022785	-0,012155	-0,001375	0,004858	-0,014696	0,005844	-0,002871	0,003988
1,85	0,010959	-0,005053	0,007824	0,007721	-0,035971	0,002095	-0,015062	-0,002195	0,00034	-0,055239	-0,01718	0,007437	9,287908e-05	0,012192	0,010743	0,043268	0,001702	0,008076
1,9000000000000001	-0,00326	-0,007802	0,008969	-0,00018	-0,014765	0,001593	0,002924	0,003019	-0,015775	0,036035	-0,015705	0,002689	-0,002628	0,005918	0,001635	0,026353	0,001298	0,011982
1,9500000000000002	-0,000474	0,002042	0,001272	-0,000988	0,004899	-0,000434	0,020767	0,018157	-0,019081	-0,022945	-0,040106	-0,011727	-0,009179	0,011597	0,028995	-0,002573	0,000544	0,004764
2,0	0,019893	0,014435	-0,016481	0,002379	-0,030959	0,012559	0,038299	0,009606	-0,031726	-0,030557	-0,049605	-0,000294	-0,011128	0,011387	0,01814	-0,010701	0,007391	-0,001309
2,0500000000000003	-0,003406	-0,003185	0,000488	0,012151	0,006887	0,034767	0,01479	0,037285	-0,009944	-0,064531	-0,054147	0,0089	-0,013295	0,005222	0,020618	-0,005035	0,010456	0,002285
2,1	0,023105	-0,001776	-0,016838	0,024762	-0,006227	0,033648	0,025671	0,023162	-0,024802	-0,003608	-0,030173	0,004678	-0,015939	-0,008784	0,001154	-0,022751	0,008455	-0,003597
2,15	-0,000675	0,001246	-0,002156	0,03036	0,003882	0,029769	0,002788	0,025998	-0,02252	0,062579	-0,04763	0,002307	-0,023544	-0,004854	0,002306	-0,008846	0,011014	0,006898
2,2	0,008877	0,005007	-0,015343	0,02173	0,003148	0,017891	0,034268	-0,004532	-0,015265	-0,019661	-0,051792	-1,549908e-07	-0,018942	-0,003017	-0,002483	0,014179	0,007423	-0,000926
2,25	0,008173	-0,003001	-0,015735	0,015162	0,000827	-0,001339	0,023403	-0,027115	-0,03386	0,0665	-0,047657	-0,01242	-0,024834	0,004116	0,004302	-0,005115	0,003163	0,006968
2,3000000000000003	0,017103	-0,012123	-0,011271	0,018693	-0,029272	0,022582	0,004343	0,013071	-0,045718	-0,000235	-0,04847	-0,014062	-0,030848	0,013557	0,013644	-0,008399	-0,002356	0,000731
2,35	0,007847	-0,023591	-0,015289	0,020999	-0,018709	0,02436	0,006898	0,003342	-0,02106	0,005888	-0,055731	-0,015363	-0,038068	0,0198	0,010303	0,010626	0,009778	0,003486
2,4000000000000004	0,026881	-0,04176	-0,013455	0,018715	-0,011281	0,038454	0,011266	-0,018277	-0,051471	0,019553	-0,048995	-0,015468	-0,0455	0,024469	0,022005	-0,010797	0,014297	-0,000887
2,45	0,016585	-0,031709	-0,017032	0,018574	-0,040187	0,055602	0,008377	-0,031908	-0,042543	0,027324	-0,053767	-0,01232	-0,051714	0,021741	0,004238	0,009511	0,026889	0,015373
2,5	0,015147	-0,026848	-0,018648	0,031005	-0,027059	0,073945	0,022458	-0,003809	-0,061955	0,058426	-0,063738	-0,00341	-0,052	0,017976	0,032669	0,022197	0,026939	0,008493
2,5500000000000003	0,022727	0,013143	-0,019267	0,034238	-0,022352	0,087313	0,044916	-0,006352	-0,103279	0,065897	-0,084361	-0,009956	-0,065339	0,016186	0,036081	0,023223	0,030118	0,013115
2,6	-0,007814	0,003674	-0,023447	0,046068	-0,065325	0,083508	0,054679	-0,019789	-0,126155	0,015998	-0,112496	-0,004558	-0,064995	0,039304	0,065733	0,039012	0,042965	0,012501
2,6500000000000004	0,001616	0,012692	-0,031633	0,053692	-0,067352	0,108124	0,104326	-0,038791	-0,138516	-0,006132	-0,111753	-0,004185	-0,0751	0,076332	0,085761	0,03987	0,064568	0,016154
2,7	0,005587	0,001524	-0,054932	0,054538	-0,07727	0,125379	0,159081	-0,022483	-0,191389	-0,075985	-0,150531	-0,013539	-0,094041	0,088015	0,117702	0,046041	0,084889	0,02456
2,75	0,018335	-0,030725	-0,059153	0,061778	-0,12389	0,140215	0,208127	-0,111108	-0,222758	-0,005936	-0,196183	-0,049099	-0,123059	0,098102	0,143378	0,069394	0,123162	0,037508
2,8000000000000003	0,023803	-0,136416	-0,096742	0,063509	-0,190495	0,170119	0,263449	-0,231324	-0,305227	-0,012318	-0,244834	-0,1044	-0,1551	0,150942	0,220414	0,123469	0,157882	0,08957
2,85	0,062162	-0,260619	-0,129265	0,083154	-0,292658	0,195837	0,342979	-0,318228	-0,371049	0,000727	-0,342172	-0,172638	-0,234086	0,337541	0,294538	0,181997	0,210827	0,165159
2,9000000000000004	0,078125	-0,412728	-0,164465	0,106024	-0,388224	0,244772	0,419097	-0,419182	-0,44337	-0,04195	-0,442095	-0,266695	-0,333384	0,557123	0,387442	0,230888	0,278995	0,25941
2,95	0,130445	-0,553318	-0,2292	0,147733	-0,501137	0,331448	0,521352	-0,696441	-0,624524	-0,193928	-0,550935	-0,406258	-0,481037	0,655127	0,494306	0,345518	0,345893	0,330164
3,0	0,203212	-0,594713	-0,284916	0,188776	-0,55016	0,450272	0,705616	-1,088448	-0,862052	-0,321011	-0,801052	-0,461617	-0,606877	0,413611	0,635234	0,560749	0,441687	0,281441
3,0500000000000003	0,360424	-0,444943	-0,251425	0,263802	-0,383945	0,675524	1,028653	-0,777834	-1,032934	-0,48869	-0,90127	-0,233246	-0,410261	-0,137696	0,899023	0,779417	0,581656	0,047368
3,1	0,67336	0,205555	-0,026501	0,438026	0,379585	1,139425	1,178167	0,438859	-1,128939	-1,131809	-0,635959	0,288945	-0,218619	-0,399956	1,020479	0,689659	0,583633	-0,316878
3,1500000000000004	1,375052	0,996216	0,442748	0,83557	1,365518	2,174478	1,755402	0,622669	-1,814183	-0,541955	-1,256915	0,378673	-0,617825	-0,224157	1,35782	0,053396	0,763322	-0,395326
3,2	3,402084	1,875075	1,152583	1,989001	2,899651	4,047707	2,903487	2,104394	-1,849035	0,168574	-1,372876	0,803301	-0,773015	0,291519	2,235532	-0,312577	1,111313	-0,298921
3,25	0,334683	-0,712607	-0,030853	0,105874	-0,253588	-0,172184	-0,626681	-0,244271	0,292049	1,119013	0,125773	-0,15156	0,05784	0,037668	-0,360013	-0,276819	-0,266442	0,207644
3,3000000000000003	0,034024	-0,23658	-0,079503	-0,019513	-0,14268	-0,045504	-0,212723	-0,117515	0,087619	0,09566	0,03057	-0,004547	0,006835	0,104126	-0,120888	0,034293	-0,067134	0,028909
3,35	0,04892	-0,067426	-0,036586	-0,010208	0,019595	-0,048564	-0,082218	0,020612	0,038922	0,101874	-0,010054	0,085557	0,01432	0,123263	-0,017885	0,093325	-0,003207	0,016289
3,4000000000000004	0,006612	0,027049	-0,031606	-0,002665	0,028089	0,022573	0,002252	0,00797	-0,03649	0,0166	-0,038606	0,085573	0,016488	0,092074	0,008734	0,101421	0,014507	0,027242
3,45	0,040738	0,05292	-0,011566	-0,009117	0,062797	0,020936	0,054619	-0,055783	-0,012551	-0,198425	-0,030546	0,062107	0,014353	0,057621	0,044139	0,122785	0,021717	0,034703
3,5	0,045387	0,040423	-0,013118	-0,009963	0,04663	0,037062	0,078626	0,048149	-0,067726	-0,027966	-0,027609	0,055539	0,009523	0,030501	0,039006	0,08668	0,019163	0,038022
3,5500000000000003	0,010927	0,029325	-0,014663	-0,011143	-0,001431	0,034538	0,056104	0,072896	-0,074388	-0,111267	-0,056323	0,039527	0,001734	0,020058	0,019962	0,070402	0,005956	0,038111
3,6	0,019775	0,013171	-0,021938	-0,005235	-0,032761	0,026193	0,047742	0,050768	-0,071403	-0,027539	-0,046417	0,033523	-0,007781	0,017909	0,000633	0,041586	0,001939	0,030281
3,6500000000000004	0,017304	-0,002082	-0,021694	-6,166221e-06	-0,044711	0,025642	0,009614	0,029117	-0,056193	0,043722	-0,041519	0,009991	-0,008912	0,035618	-0,005561	0,021871	-0,010465	0,022968
3,7	0,040489	-0,022156	-0,008005	-0,005595	-0,043697	0,025116	-0,001015	0,060932	-0,083622	0,017475	-0,046157	0,017347	-0,011979	0,061548	-0,005529	0,035261	-0,017364	0,028623
3,75	0,030449	-0,019894	-0,022903	0,00722	-0,064204	0,021859	-0,025353	0,08604	-0,078528	0,05795	-0,029828	0,018204	-0,012844	0,083465	-0,021048	0,0175	-0,024855	0,03677
3,8000000000000003	0,022091	-0,042096	-0,021244	-0,005077	-0,055446	0,019651	-0,031942	0,059877	-0,071274	0,086114	-0,036331	0,029327	-0,015787	0,082307	-0,020496	0,038529	-0,02681	0,039806
3,85	0,041848	-0,053445	-0,017625	0,012755	-0,046822	0,03356	-0,031114	0,050742	-0,067324	0,090341	-0,034427	0,025317	-0,018926	0,076636	-0,017283	0,025966	-0,034538	0,042167
3,9000000000000004	0,022904	-0,049719	-0,018435	0,024639	-0,038144	0,050848	-0,034591	0,074793	-0,078328	0,121086	-0,028561	0,023364	-0,02157	0,070109	-0,037734	0,03705	-0,031457	0,046601
3,95	0,017949	-0,064539	-0,020258	0,025677	-0,04083	0,071581	-0,02311	0,085119	-0,07107	-0,004293	-0,035605	0,051737	-0,022588	0,087664	-0,042767	0,039324	-0,04006	0,04867
4,0	0,032365	-0,047724	-0,036627	0,027742	-0,036463	0,060189	-0,035917	0,061951	-0,084836	-0,051599	-0,040128	0,048341	-0,020042	0,115076	-0,047647	0,050723	-0,036274	0,054614
4,05	0,022046	-0,038943	-0,02715	0,027312	-0,060008	0,090562	-0,058177	0,081241	-0,091575	0,023336	-0,04013	0,040057	-0,02338	0,140447	-0,041528	0,062993	-0,037807	0,058641
4,1000000000000005	0,031838	-0,040992	-0,046403	0,024869	-0,065354	0,087449	-0,057956	0,088075	-0,101843	0,018847	-0,050984	0,047482	-0,025942	0,166831	-0,044293	0,062459	-0,041086	0,061495
4,15	0,046037	-0,039655	-0,042921	0,031107	-0,062951	0,089044	-0,071529	0,085457	-0,111897	0,001764	-0,064506	0,048887	-0,026656	0,185079	-0,039412	0,060061	-0,039505	0,075493
4,2	0,0409	-0,057611	-0,040235	0,027585	-0,073947	0,105203	-0,07759	0,056369	-0,143	-0,038217	-0,067455	0,050121	-0,029542	0,19481	-0,052875	0,061339	-0,046701	0,08104
4,25	0,050181	-0,068808	-0,053236	0,034051	-0,067114	0,103939	-0,085254	0,086252	-0,160983	0,0053	-0,085555	0,047969	-0,035382	0,2091	-0,060104	0,04591	-0,048634	0,086938
4,3	0,047565	-0,08053	-0,061708	0,033641	-0,107182	0,116701	-0,097243	0,13657	-0,187265	0,067397	-0,106064	0,055124	-0,037777	0,239762	-0,082886	0,061015	-0,051795	0,09922
4,3500000000000005	0,075524	-0,116305	-0,071722	0,040456	-0,113688	0,114163	-0,108464	0,110463	-0,206868	0,11603	-0,10035	0,069144	-0,045361	0,286372	-0,09114	0,065969	-0,06274	0,113107
4,4	0,073699	-0,123205	-0,082345	0,055801	-0,117488	0,124586	-0,127526	0,143889	-0,247699	0,165185	-0,120816	0,075544	-0,046326	0,355376	-0,117812	0,094405	-0,07533	0,127509
4,45	0,075841	-0,143852	-0,10004	0,074316	-0,163626	0,149725	-0,149231	0,180604	-0,278561	0,166947	-0,140754	0,088128	-0,060053	0,424448	-0,125883	0,119269	-0,08293	0,150045
4,5	0,106661	-0,170611	-0,12363	0,085639	-0,196388	0,184464	-0,196842	0,223579	-0,313024	0,191542	-0,143352	0,110389	-0,075653	0,506665	-0,157539	0,115437	-0,090054	0,176301
4,55	0,12295	-0,207606	-0,152229	0,103623	-0,241799	0,227954	-0,23231	0,248166	-0,36977	0,218284	-0,177668	0,127404	-0,08921	0,590528	-0,192816	0,142532	-0,105796	0,208134
4,6000000000000005	0,140715	-0,25566	-0,172139	0,127551	-0,294284	0,286024	-0,285695	0,290933	-0,452593	0,214242	-0,22414	0,147755	-0,104016	0,705045	-0,258542	0,17187	-0,125664	0,246809
4,65	0,193939	-0,318473	-0,225707	0,154595	-0,381683	0,364292	-0,342777	0,375925	-0,558743	0,361796	-0,283055	0,192877	-0,136045	0,821209	-0,299605	0,221664	-0,152031	0,298022
