# Combined LVM export
# delta_x = 1.0
# fs = 1.0
# channels = 18
# ----------------------------------
frequency	UEBERTRAGUNGSFUNKTIONFFTY_0	UEBERTRAGUNGSFUNKTIONFFTY_1	UEBERTRAGUNGSFUNKTIONFFTY_2	UEBERTRAGUNGSFUNKTIONFFTY_3	UEBERTRAGUNGSFUNKTIONFFTY_4	UEBERTRAGUNGSFUNKTIONFFTY_5	UEBERTRAGUNGSFUNKTIONFFTY_6	UEBERTRAGUNGSFUNKTIONFFTY_7	UEBERTRAGUNGSFUNKTIONFFTY_8	UEBERTRAGUNGSFUNKTIONFFTY_9	UEBERTRAGUNGSFUNKTIONFFTY_10	UEBERTRAGUNGSFUNKTIONFFTY_11	UEBERTRAGUNGSFUNKTIONFFTY_12	UEBERTRAGUNGSFUNKTIONFFTY_13	UEBERTRAGUNGSFUNKTIONFFTY_14	UEBERTRAGUNGSFUNKTIONFFTY_15	UEBERTRAGUNGSFUNKTIONFFTY_16	UEBERTRAGUNGSFUNKTIONFFTY_17
1,9000000000000001	0,059343	0,050903	0,027662	0,048128	0,044197	0,089149	0,054129	0,012581	0,092678	0,037878	0,191956	0,002692	0,059748	0,006055	0,068342	0,051811	0,022689	0,017132
1,9500000000000002	0,062859	0,046333	0,019888	0,052174	0,067166	0,102881	0,06709	0,028846	0,114072	0,04374	0,206311	0,015472	0,057628	0,019079	0,071596	0,037826	0,042825	0,013137
2,0	0,06131	0,050778	0,019931	0,061703	0,059724	0,075307	0,093257	0,020621	0,113532	0,047496	0,217647	0,017069	0,057649	0,021769	0,048139	0,038437	0,041926	0,017959
2,0500000000000003	0,072369	0,0403	0,01706	0,05884	0,083861	0,129828	0,066313	0,0373	0,124732	0,069163	0,217698	0,009028	0,059749	0,046859	0,061341	0,053208	0,034326	0,018413
2,1	0,084314	0,008316	0,026972	0,064245	0,040076	0,134433	0,077994	0,044096	0,140034	0,065981	0,245902	0,00951	0,060251	0,059459	0,062621	0,038047	0,043977	0,023808
2,15	0,073134	0,003879	0,018706	0,0652	0,027177	0,161082	0,088381	0,059076	0,166265	0,072799	0,240597	0,003622	0,074339	0,062402	0,08705	0,021255	0,044631	0,032588
2,2	0,0895	0,033675	0,022669	0,061182	0,041019	0,161459	0,096111	0,012527	0,132796	0,024626	0,244925	0,004465	0,071544	0,051746	0,085563	0,029906	0,050553	0,035379
2,25	0,12342	0,042923	0,034328	0,056299	0,030783	0,157157	0,121927	0,039058	0,17691	0,075835	0,258721	0,0133	0,083862	0,059649	0,100926	0,045805	0,051616	0,02812
2,3000000000000003	0,101968	0,048602	0,024765	0,061846	0,060417	0,169175	0,127957	0,049273	0,17743	0,050231	0,274698	0,015899	0,095172	0,071464	0,100926	0,047953	0,05423	0,032155
2,35	0,135058	0,03932	0,024049	0,067316	0,028557	0,168859	0,134678	0,028397	0,195859	0,055872	0,278589	0,020038	0,103441	0,094964	0,095578	0,083842	0,062275	0,042824
