"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.402955625E0,1.435514832E-1,2.601589966E-1,9.809251556E0
1.413025625E0,1.344204712E-1,2.601589966E-1,9.811496887E0
1.423096625E0,1.378633118E-1,2.570155334E-1,9.806108093E0
1.433166625E0,1.264869690E-1,2.519261169E-1,9.801617432E0
1.443236625E0,1.312770081E-1,2.436932373E-1,9.814041595E0
1.453307625E0,1.341210938E-1,2.273771667E-1,9.801168365E0
1.463377625E0,1.299298096E-1,2.405497742E-1,9.821376343E0
1.473447625E0,1.360670471E-1,2.366578674E-1,9.806108093E0
1.483518625E0,1.318757629E-1,2.415975952E-1,9.812844086E0
1.493588625E0,1.338217163E-1,2.516267395E-1,9.793833618E0
1.503659625E0,1.448986816E-1,2.606080627E-1,9.796827393E0
1.513729625E0,1.321751404E-1,2.633024597E-1,9.820178833E0
1.523799625E0,1.306782532E-1,2.640509033E-1,9.812993774E0
1.533870625E0,1.344204712E-1,2.586621094E-1,9.817035370E0
1.543940625E0,1.282832336E-1,2.665956116E-1,9.800419922E0
1.554010625E0,1.284329224E-1,2.674937439E-1,9.821825409E0
1.564081625E0,1.398092651E-1,2.567161560E-1,9.807155914E0
1.574151625E0,1.293310547E-1,2.538720703E-1,9.822873230E0
1.584222625E0,1.410067749E-1,2.459385681E-1,9.805958405E0
1.594292625E0,1.338217163E-1,2.535726929E-1,9.807455292E0
1.604362625E0,1.330732727E-1,2.496807861E-1,9.811646576E0
1.614433625E0,1.368154907E-1,2.594105530E-1,9.804461517E0
1.624503625E0,1.335223389E-1,2.615061951E-1,9.819280701E0
1.634573625E0,1.431024170E-1,2.454895020E-1,9.809251556E0
1.644644625E0,1.408570862E-1,2.505789185E-1,9.813891907E0
1.654714625E0,1.416055298E-1,2.580633545E-1,9.813442841E0
1.664785625E0,1.365161133E-1,2.501298523E-1,9.807455292E0
1.674855625E0,1.414558411E-1,2.477348328E-1,9.814490662E0
1.684925625E0,1.401086426E-1,2.483335876E-1,9.805359650E0
1.694996625E0,1.462458801E-1,2.543211365E-1,9.816885681E0
1.705066625E0,1.371148682E-1,2.574645996E-1,9.807754669E0
1.715136625E0,1.339714050E-1,2.652484131E-1,9.819879456E0
1.725207625E0,1.302291870E-1,2.692900085E-1,9.804012451E0
1.735277625E0,1.371148682E-1,2.615061951E-1,9.808652802E0
1.745348625E0,1.372645569E-1,2.487826538E-1,9.816436615E0
1.755418625E0,1.332229614E-1,2.480342102E-1,9.811945953E0
1.765488625E0,1.410067749E-1,2.465373230E-1,9.815987549E0
1.775559625E0,1.309776306E-1,2.468367004E-1,9.801916809E0
1.785629625E0,1.354682922E-1,2.445913696E-1,9.823471985E0
1.795699625E0,1.363664246E-1,2.354603577E-1,9.806856537E0
1.805770625E0,1.326242065E-1,2.392025757E-1,9.813592529E0
1.815840625E0,1.448986816E-1,2.435435486E-1,9.806856537E0
1.825911625E0,1.374142456E-1,2.493814087E-1,9.819280701E0
1.835981625E0,1.351689148E-1,2.496807861E-1,9.818382568E0
1.846051625E0,1.371148682E-1,2.597099304E-1,9.820478210E0
1.856122625E0,1.359173584E-1,2.778222656E-1,9.826316071E0
1.866192625E0,1.405577087E-1,2.618055725E-1,9.814340973E0
1.876262625E0,1.405577087E-1,2.378553772E-1,9.822424164E0
1.886333625E0,1.390608215E-1,2.128573608E-1,9.789193268E0
1.896403625E0,1.351689148E-1,2.101629639E-1,9.807006226E0
1.906474625E0,1.342707825E-1,2.257305908E-1,9.804012451E0
1.916544625E0,1.365161133E-1,2.586621094E-1,9.820627899E0
1.926614625E0,1.357676697E-1,2.865042114E-1,9.831106110E0
1.936685625E0,1.380130005E-1,2.888992310E-1,9.824968872E0
