"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.762459000E0,-3.251203895E-2,-5.991680175E-2,2.944571078E-1
2.772530000E0,-1.474072784E-2,-3.484413028E-2,3.640695810E-1
2.782600000E0,9.098709561E-4,-7.236567140E-2,3.631228209E-1
2.792671000E0,1.329136081E-2,-1.534316037E-2,3.201314807E-1
2.802741000E0,9.670527652E-3,5.355654657E-2,1.893430948E-1
2.812811000E0,2.677429654E-2,1.107417569E-1,1.238305867E-1
2.822882000E0,2.169671468E-2,-1.472397940E-3,1.035404950E-1
2.832952000E0,9.928490035E-4,4.658374563E-2,6.173229218E-2
2.843023000E0,5.032331217E-3,5.064986274E-2,1.250081956E-1
2.853093000E0,-2.073478140E-2,-2.801612020E-2,7.328920066E-2
2.863164000E0,-4.893234000E-3,-3.497682512E-2,1.346513480E-1
2.873234000E0,-1.040582731E-2,-2.094516531E-2,9.930500388E-2
2.883304000E0,1.032342017E-2,-1.744736917E-2,6.803923100E-2
2.893375000E0,-6.802379154E-3,9.155322798E-3,-1.250862479E-1
2.903445000E0,-1.843799651E-2,-1.292132139E-1,-2.383283824E-1
2.913516000E0,-3.284079209E-2,-7.475004345E-2,-3.677949607E-1
2.923586000E0,-4.645220563E-2,-9.388219565E-2,-3.580288887E-1
2.933657000E0,-3.707445413E-2,-4.359609634E-2,-3.023273647E-1
2.943727000E0,-2.930308320E-2,-3.104302101E-2,-3.234630227E-1
2.953797000E0,-8.383876830E-2,-8.545704931E-2,-2.651640177E-1
2.963868000E0,-2.272321470E-2,-4.186083376E-2,-2.813075781E-1
2.973938000E0,-3.210176155E-2,-1.109047458E-1,-3.133506179E-1
2.984009167E0,-5.368907750E-2,-9.188684076E-2,-1.993183196E-1
2.994079167E0,-4.436699301E-2,-5.501072481E-2,-1.179495528E-1
3.004150167E0,-3.597936407E-2,-1.004407853E-1,-7.877418399E-2
3.014220167E0,-2.512432076E-2,-4.947321117E-2,1.210086327E-2
3.024291167E0,-5.922210217E-2,-1.184123307E-1,1.438554227E-1
3.034361167E0,-2.751937695E-2,-9.640488029E-2,2.953544557E-1
3.044431167E0,-9.156227112E-2,-1.839672178E-1,4.599226415E-1
3.054502167E0,-1.235856861E-1,-2.932296991E-1,6.271921396E-1
3.064572167E0,-8.251894265E-2,-2.146129310E-1,6.724315286E-1
3.074643167E0,-3.860827535E-2,-1.281884462E-1,6.879551411E-1
3.084713167E0,1.480021514E-3,-2.923789434E-2,8.506929278E-1
3.094784167E0,1.095219329E-2,8.478290401E-3,7.509565353E-1
3.104854167E0,2.217741683E-2,-3.481166670E-3,4.110610485E-1
3.114924167E0,2.147898823E-2,-2.948166616E-2,1.384407729E-1
3.124995167E0,8.354663849E-3,-3.855239600E-2,2.490953803E-1
3.135065167E0,-3.308613598E-2,-8.538366854E-2,2.544678748E-1
3.145136167E0,6.326543540E-2,2.472201139E-1,1.962484866E-1
3.155206167E0,-4.359150678E-2,-1.511415690E-1,1.989172548E-1
3.165277167E0,7.948036492E-2,1.092993394E-1,1.771371216E-1
3.175347167E0,-6.253936887E-2,-1.266203225E-1,-1.898125745E-2
3.185418167E0,9.051198140E-4,6.944799423E-2,-1.608459949E-1
3.195488167E0,-2.506169118E-2,1.165292878E-2,-2.675850093E-1
3.205558167E0,-3.584110364E-2,-2.438842878E-2,-2.868628204E-1
3.215629167E0,5.102990195E-3,7.014190778E-3,-2.949062586E-1
3.225699167E0,-5.791432410E-2,-2.451923490E-2,-2.848418951E-1
3.235770167E0,-9.057606570E-3,3.585273400E-2,-3.281266391E-1
3.245840167E0,7.762385998E-3,4.252555221E-2,-4.095264375E-1
3.255911167E0,-4.008404538E-2,-5.117177218E-2,-4.811960459E-1
3.265981167E0,1.854304783E-2,5.350111052E-2,-4.400978982E-1
3.276052167E0,-7.705024444E-3,2.402614243E-2,-4.880240262E-1
3.286122167E0,1.146068051E-2,3.998566791E-2,-4.996146560E-1
3.296192167E0,-1.027942821E-2,8.077591658E-3,-5.673676133E-1
3.306263167E0,-1.778085250E-3,5.311803892E-2,-5.670853257E-1
3.316333167E0,2.283389494E-2,1.033165753E-1,-4.658571780E-1
3.326404167E0,-7.226001937E-3,2.381802164E-2,-3.731610477E-1
