Time - Acceleration	Amplitude - Acceleration
0,299707	-0,00119418
0,300312	-0,00114914
0,300918	-0,00113713
0,301523	-0,0013383
0,302129	-0,00123321
0,302734	-0,00104705
0,30334	-0,00115814
0,303945	-0,00127825
0,304551	-0,00136232
0,305156	-0,00132329
0,305762	-0,00124522
0,306367	-0,00124522
0,306973	-0,00129026
0,307578	-0,00133229
0,308184	-0,00139835
0,308789	-0,0013353
0,309395	-0,00132629
0,31	-0,00129326
0,310605	-0,00111911
0,311211	-0,00132329
0,311816	-0,00134731
0,312422	-0,00132629
0,313027	-0,00130227
0,313633	-0,00142537
0,314238	-0,00114313
0,314844	-0,00101702
0,315449	-0,00117316
0,316055	-0,00144339
0,31666	-0,00126624
0,317266	-0,00147642
0,317871	-0,00139835
0,318477	-0,00132028
0,319082	-0,00137733
0,319688	-0,00137733
0,320293	-0,0013443
0,320898	-0,00119718
0,321504	-0,00129927
0,322109	-0,0012272
0,322715	-0,00113713
0,32332	-0,00120318
0,323926	-0,0012212
0,324531	-0,00102603
0,325137	-0,00116115
0,325742	-0,00106206
0,326348	-0,00116415
0,326953	-0,000911934
0,327559	-0,00123921
0,328164	-0,00102003
0,32877	-0,00108008
0,329375	-0,00109809
0,32998	-0,0013353
0,330586	-0,0014524
0,331191	-0,00133229
0,331797	-0,00127525
0,332402	-0,00119418
0,333008	-0,00142537
0,333613	-0,00116415
0,334219	-0,00136532
0,334824	-0,00151545
0,33543	-0,00141336
0,336035	-0,00138334
0,336641	-0,00132329
0,337246	-0,00131428
0,337852	-0,00126624
0,338457	-0,0014554
0,339062	-0,00141336
0,339668	-0,00135031
0,340273	-0,00113412
0,340879	-0,00124822
0,341484	-0,0011071
0,34209	-0,00125723
0,342695	-0,00118517
0,343301	-0,00126924
0,343906	-0,00132629
0,344512	-0,0012182
0,345117	-0,00107407
0,345723	-0,00128125
0,346328	-0,000983995
0,346934	-0,00117916
0,347539	-0,00115214
0,348145	-0,00114313
0,34875	-0,00114914
0,349355	-0,00111311
0,349961	-0,00123921
0,350566	-0,000956972
0,351172	-0,00126924
0,351777	-0,00097799
0,352383	-0,00117916
0,352988	-0,00128425
0,353594	-0,00143138
0,354199	-0,00114013
0,354805	-0,00106506
0,35541	-0,00117616
0,356016	-0,000938957
0,356621	-0,00141937
0,357227	-0,00119117
0,357832	-0,00111911
0,358438	-0,0011071
0,359043	-0,00108909
0,359648	-0,00116715
0,360254	-0,0011101
0,360859	-0,00114914
0,361465	-0,000971985
0,36207	-0,00121219
0,362676	-0,00107407
0,363281	-0,00129026
0,363887	-0,00126924
0,364492	-0,00138034
0,365098	-0,00130527
0,365703	-0,00143138
0,366309	-0,0013443
0,366914	-0,00114013
0,36752	-0,00129326
0,368125	-0,00101702
0,36873	-0,00114013
0,369336	-0,00107407
0,369941	-0,00123921
0,370547	-0,00119418
0,371152	-0,000902926
0,371758	-0,00103504
0,372363	-0,00108308
0,372969	-0,000815851
0,373574	-0,000968983
0,37418	-0,00109509
0,374785	-0,00108909
0,375391	-0,00126924
0,375996	-0,000974988
0,376602	-0,000926946
0,377207	-0,000971985
0,377812	-0,00114013
0,378418	-0,00121219
0,379023	-0,00107407
0,379629	-0,00103504
0,380234	-0,00136532
0,38084	-0,00114914
0,381445	-0,0012212
0,382051	-0,00112812
0,382656	-0,00115514
0,383262	-0,00109209
0,383867	-0,00117916
0,384473	-0,00105305
0,385078	-0,00114914
0,385684	-0,00113412
0,386289	-0,00113112
0,386895	-0,00114013
0,3875	-0,00116715
0,388105	-0,00119418
0,388711	-0,00129626
0,389316	-0,00123921
0,389922	-0,00124222
0,390527	-0,00116115
0,391133	-0,00124822
0,391738	-0,0012212
0,392344	-0,00128125
0,392949	-0,00113412
0,393555	-0,00112512
0,39416	-0,00127825
0,394766	-0,00118517
0,395371	-0,00112812
0,395977	-0,0011011
0,396582	-0,00147342
0,397187	-0,00127525
0,397793	-0,00139535
0,398398	-0,00125723
0,399004	-0,00120318
0,399609	-0,00149143
0,400215	-0,00137133
0,40082	-0,00127825
0,401426	-0,00154848
0,402031	-0,00131128
0,402637	-0,00147942
0,403242	-0,00146141
0,403848	-0,00130827
0,404453	-0,00135932
0,405059	-0,00150344
0,405664	-0,00149143
0,40627	-0,00121219
0,406875	-0,00137433
0,40748	-0,00140135
0,408086	-0,00139535
0,408691	-0,00134731
0,409297	-0,00121519
0,409902	-0,00137733
0,410508	-0,00129026
0,411113	-0,00154247
0,411719	-0,00129326
0,412324	-0,00126324
0,41293	-0,0012242
0,413535	-0,00141937
0,414141	-0,00136833
0,414746	-0,00139235
0,415352	-0,00142537
0,415957	-0,00132929
0,416563	-0,00129927
0,417168	-0,00143138
0,417773	-0,00135932
0,418379	-0,00143738
0,418984	-0,00138334
0,41959	-0,00125423
0,420195	-0,00121519
0,420801	-0,00108308
0,421406	-0,00124522
0,422012	-0,00118817
0,422617	-0,00135932
0,423223	-0,0011101
0,423828	-0,00109509
0,424434	-0,00105906
0,425039	-0,00129927
0,425645	-0,00114313
0,42625	-0,00102003
0,426855	-0,00127825
0,427461	-0,00118817
0,428066	-0,00113112
0,428672	-0,00108909
0,429277	-0,00123021
0,429883	-0,0012242
0,430488	-0,00107107
0,431094	-0,00114613
0,431699	-0,000857887
0,432305	-0,00104104
0,43291	-0,00104104
0,433516	-0,00113112
0,434121	-0,000983995
0,434727	-0,0011011
0,435332	-0,00113112
0,435937	-0,00100201
0,436543	-0,00130227
0,437148	-0,00105305
0,437754	-0,000944962
0,438359	-0,000911934
0,438965	-0,000990001
0,43957	-0,00103804
0,440176	-0,00108008
0,440781	-0,0012212
0,441387	-0,00103504
0,441992	-0,000815851
0,442598	-0,00103204
0,443203	-0,000758802
0,443809	-0,000950967
0,444414	-0,000836869
