Time - Force	Amplitude - Force
0,224629	-0,0494338
0,225234	-0,0592984
0,22584	-0,0459522
0,226445	-0,0465325
0,227051	-0,0459522
0,227656	-0,0732249
0,228262	-0,0404396
0,228867	-0,0392791
0,229473	-0,0453719
0,230078	-0,0642307
0,230684	-0,0474029
0,231289	-0,0491437
0,231895	-0,0552365
0,2325	-0,0427607
0,233105	-0,0355073
0,233711	-0,0479831
0,234316	-0,043341
0,234922	-0,030575
0,235527	-0,0247723
0,236133	-0,0427607
0,236738	-0,0514648
0,237344	-0,0578477
0,237949	-0,0299947
0,238555	-0,0436311
0,23916	-0,0482733
0,239766	-0,0532056
0,240371	-0,0581379
0,240977	-0,0381185
0,241582	-0,0418903
0,242187	-0,0427607
0,242793	-0,0627801
0,243398	-0,0587182
0,244004	-0,0381185
0,244609	-0,034927
0,245215	-0,0505944
0,24582	-0,0357974
0,246426	-0,0346369
0,247031	-0,0616195
0,247637	-0,0485634
0,248242	-0,0378284
0,248848	-0,0183893
0,249453	-0,0563971
0,250059	-0,0239019
0,250664	-0,00765427
0,25127	-0,0326059
0,251875	-0,0256427
0,25248	-0,0392791
0,253086	-0,0311553
0,253691	-0,0154879
0,254297	-0,0273835
0,254902	-0,00968522
0,255508	-0,0253525
0,256113	-0,0488535
0,256719	-0,0140373
0,257324	-0,0256427
0,25793	-0,0079444
0,258535	-0,0212906
0,259141	-0,0215808
0,259746	-0,0317355
0,260352	-0,0157781
0,260957	-0,0201301
0,261562	-0,0169386
0,262168	-0,0334763
0,262773	-0,0175189
0,263379	-0,00272196
0,263984	-0,0331862
0,26459	-0,034927
0,265195	-0,0125866
0,265801	-0,0224512
0,266406	-0,0186794
0,267012	-0,0157781
0,267617	-0,01984
0,268223	-0,00910495
0,268828	-0,0131668
0,269434	-0,0192597
0,270039	-0,01984
0,270645	0,00569197
0,27125	-0,00562332
0,271855	-0,0250624
0,272461	-0,00185155
0,273066	0,0010498
0,273672	0,0083032
0,274277	-0,00127128
0,274883	0,0051117
0,275488	0,00598211
0,276094	-0,00214169
0,276699	0,00627225
0,277305	0,00482157
0,27791	-0,0117162
0,278516	0,00133994
0,279121	-0,007074
0,279727	-0,0154879
0,280332	-0,00359237
0,280938	-0,0157781
0,281543	-0,00185155
0,282148	-0,00678386
0,282754	-0,0079444
0,283359	-0,000981148
0,283965	0,0138158
0,28457	0,0146862
0,285176	-0,013457
0,285781	-0,00736413
0,286387	-0,0256427
0,286992	0,00366102
0,287598	-0,0140373
0,288203	-0,0157781
0,288809	0,00308075
0,289414	-0,00562332
0,29002	0,00482157
0,290625	0,0204889
0,29123	-0,00649373
0,291836	-0,007074
0,292441	-0,0122964
0,293047	0,010044
0,293652	0,00946374
0,294258	-0,007074
0,294863	0,00133994
0,295469	-0,00330223
0,296074	-0,00620359
0,29668	0,0245508
0,297285	-0,00562332
0,297891	-0,0160682
0,298496	0,00714265
0,299102	0,0103341
0,299707	0,0117848
0,300312	-0,0117162
0,300918	-0,0157781
0,301523	0,0042413
0,302129	0,00163007
0,302734	0,00888347
0,30334	-0,00910495
0,303945	0,00569197
0,304551	0,00163007
0,305156	0,0135256
0,305762	0,0172974
0,306367	0,0367365
0,306973	0,0175875
0,307578	0,0146862
0,308184	0,0341253
0,308789	0,00714265
0,309395	0,014396
0,31	0,0294831
0,310605	0,029193
0,311211	0,0106243
0,311816	0,0219396
0,312422	0,0410885
0,313027	0,0315141
0,313633	0,0402181
0,314238	0,0280324
0,314844	0,0477617
0,315449	0,0407984
0,316055	0,0390576
0,31666	0,0466011
0,317266	0,0567559
0,317871	0,0587868
0,318477	0,0480518
0,319082	0,063429
0,319688	0,061398
0,320293	0,0648797
0,320898	0,0544348
0,321504	0,0576263
0,322109	0,0518236
0,322715	0,0994058
0,32332	0,0727133
0,323926	0,0814174
0,324531	0,105789
0,325137	0,0973749
0,325742	0,0982453
0,326348	0,10898
0,326953	0,106949
0,327559	0,13016
0,328164	0,116814
0,32877	0,10782
0,329375	0,123487
0,32998	0,125518
0,330586	0,142346
0,331191	0,139735
0,331797	0,15163
0,332402	0,162075
0,333008	0,179483
0,333613	0,185866
0,334219	0,195441
0,334824	0,200083
0,33543	0,196021
0,336035	0,191669
0,336641	0,206466
0,337246	0,21488
0,337852	0,220392
0,338457	0,241282
0,339062	0,242733
0,339668	0,245634
0,340273	0,260721
0,340879	0,28045
0,341484	0,285383
0,34209	0,295247
0,342695	0,29989
0,343301	0,283352
0,343906	0,30134
0,344512	0,315267
0,345117	0,350663
0,345723	0,337607
0,346328	0,345731
0,346934	0,340218
0,347539	0,372133
0,348145	0,383449
0,34875	0,383739
0,349355	0,38722
0,349961	0,379967
